track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,5,11312,11309,3,3,5034202,6079632,7172778,753.13,4,15,1,0,512,4096,11309,type3_numa_node1,4,1,1.00,1.00,1,15.016084
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,1,71268,10596,60672,60672,5877800,7611571,11421422,705.21,8,15,1,0,512,4096,10596,type3_numa_node1,4,1,1.00,0.15,1,15.025399
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,2,71162,10568,60594,60594,5558232,7010476,10172052,703.26,8,15,1,0,512,4096,10568,type3_numa_node1,4,1,1.00,0.15,1,15.027079
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,3,79381,13791,65590,65590,3211074,7026334,10096994,917.30,8,15,1,0,512,4096,13791,type3_numa_node1,4,1,1.00,0.17,1,15.034299
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,4,74570,11849,62721,62721,4579110,7405929,10463430,788.50,8,15,1,0,512,4096,11849,type3_numa_node1,4,1,1.00,0.16,1,15.027182
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,5,77177,12925,64252,64252,3668906,6937338,8598133,860.15,8,15,1,0,512,4096,12925,type3_numa_node1,4,1,1.00,0.17,1,15.026387
